Name,CRM_Code_Set__c,CRM_Code__c
Oslo,Fylke,3
Rogaland,Fylke,11
Møre og Romsdal,Fylke,15
Nordland,Fylke,18
Østfold,Fylke,31
Akershus,Fylke,32
Buskerud,Fylke,33
Innlandet,Fylke,34
Vestfold,Fylke,39
Telemark,Fylke,40
Agder,Fylke,42
Vestland,Fylke,46
Trøndelag,Fylke,50
Troms,Fylke,55
Finnmark,Fylke,56
Svalbard,Fylke,21
Jan Mayen,Fylke,22
